"","week","Louisiana"
"1",2,0.449328964117222
"2",3,0.651225482111877
"3",4,0.762028640474211
"4",5,0.829234153213961
"5",6,0.866117320615201
"6",7,0.893441043062493
"7",8,0.913682954508298
"8",9,0.930255629910059
"9",10,0.942532969813127
"10",11,0.957528546633605
"11",12,0.968637543171847
"12",13,0.975375490170933
"13",14,0.981472236736448
"14",15,0.984499791481824
